checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,hidden_dimension_N,projection_dimension_max,definition,projected_frobenius_norm_d1,projected_normalized_frobenius_d1,projected_frobenius_norm_d2,projected_normalized_frobenius_d2,projected_frobenius_norm_d3,projected_normalized_frobenius_d3,projected_frobenius_norm_d4,projected_normalized_frobenius_d4
step10000,10000,1024,0,44991,locations,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.32787811756134033,0.32787811756134033,0.477594082513927,0.3377100144001653,0.5561876127008166,0.3211150679127518,0.6294275712251314,0.3147137856125657
step10000,10000,1024,1,40201, 449,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3331388831138611,0.3331388831138611,0.46804041709186467,0.33095455279503755,0.540552157831489,0.3120879338350433,0.6066097816488506,0.3033048908244253
step10000,10000,1024,2,45634,completion,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.32857686281204224,0.32857686281204224,0.4782896859587976,0.33820188031305004,0.5569402487909242,0.32154960256197723,0.6301947596370971,0.3150973798185486
step10000,10000,1024,3,14819,Py,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.33078718185424805,0.33078718185424805,0.4802752128434299,0.3396058598374017,0.558976392483784,0.3227251706711586,0.6322501464947822,0.3161250732473911
step10000,10000,1024,4,30341, circumference,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.33340340852737427,0.33340340852737427,0.4683057050131821,0.33114213968316797,0.5408158514147677,0.3122401773963328,0.6068574422845416,0.3034287211422708
step10000,10000,1024,5,35393, involuntary,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3304325342178345,0.3304325342178345,0.465495063309922,0.3291547158753071,0.5381343836609318,0.31069203126683237,0.604570224070031,0.3022851120350155
step10000,10000,1024,6,41478,立,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3305490016937256,0.3305490016937256,0.4800758542141696,0.3394648919987637,0.5587802501102648,0.32261192781900777,0.6320535944012537,0.3160267972006269
step10000,10000,1024,7,29263, CAD,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3218528926372528,0.3218528926372528,0.4668477457648148,0.33011120681195383,0.542805835897475,0.31338909547310706,0.6146582395956166,0.3073291197978083
step10000,10000,1024,8,43322,alen,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.32245683670043945,0.32245683670043945,0.4635134638141915,0.3277535134342802,0.5381587505775288,0.31070609951268896,0.6084817721651199,0.30424088608255995
step10000,10000,1024,9,41720, Nokia,1,0,190905176,512,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3412232995033264,0.3412232995033264,0.47851619277078816,0.33836204481579346,0.5530088631256311,0.31927981598983207,0.6229731446732458,0.3114865723366229
