checkpoint,lyapunov_median_4tokens,lyapunov_min_4tokens,lyapunov_max_4tokens,geometric_factor_from_median
step0,0.016874591819941998,0.014066111296415329,0.0214631799608469,1.017017771979609
step2000,-0.011797378771007061,-0.012045515701174736,-0.011063851416110992,0.9882719374509149
step3000,-0.039700280874967575,-0.04064321517944336,-0.038807131350040436,0.9610774492812822
step4000,-0.013092014472931623,-0.022437429055571556,-0.003234917065128684,0.9869933131723908
step5000,0.009080622345209122,0.006553443614393473,0.01235616859048605,1.0091219762746577
step7000,0.01943340804427862,0.005647176876664162,0.020464742556214333,1.0196234658791616
step8000,0.012901806272566319,0.0037728731986135244,0.01937909796833992,1.0129853936644029
step9000,-0.004166566766798496,-0.004900495987385511,-0.003085056319832802,0.9958421013295996
step10000,0.002268396900035441,0.0013496674364432693,0.003713164711371064,1.0022709716587737
step13000,-0.0460253469645977,-0.04918741434812546,-0.045263804495334625,0.9550177550826994
step21000,0.022114193066954613,0.015331948176026344,0.03083169460296631,1.0223605242886742
step25000,0.01572711719200015,0.014488105662167072,0.01890045404434204,1.015851439186716
step29000,0.00200839142780751,0.000752018007915467,0.002578534884378314,1.0020104095967362
step33000,0.019571099430322647,0.011851107701659203,0.023671410977840424,1.019763868913344
step37000,0.007502243155613542,0.0034063118509948254,0.012295432388782501,1.007530455489596
step41000,0.003757036756724119,0.002990899607539177,0.0042737750336527824,1.0037641032662603
step53000,0.0031850850209593773,0.0017722477205097675,0.006058497354388237,1.0031901627938697
step57000,0.0019167134305462241,0.0015598245663568377,0.0022850658278912306,1.0019185514998967
step61000,-0.10303766652941704,-0.10334985703229904,-0.10226791352033615,0.9020929941292781
