checkpoint,target_step,interval,selection_index,token_id,token,wikitext_train_count,center_norm,center_tail_radius_mean,center_tail_radius_max,center_tail_relative_radius_mean,cosine_neighbor_token_id,cosine_neighbor_token,cosine_neighbor_wikitext_train_count,cosine_similarity,cosine_top1_top2_margin,cosine_vocab_zscore,geometry_confidence,cosine_top5,lm_top1_token_id,lm_top1_token,lm_top1_wikitext_train_count,lm_top1_probability,lm_top1_top2_logit_margin,lm_normalized_entropy,lm_top5,cosine_neighbor_matches_lm_top1,similarity_prediction_description
step0,0,baseline,0,29104, repetitive,16,17.36798858642578,14.481203079223633,15.983498573303223,0.8337870240211487,11423,annot,0,0.2044721096754074,0.029158636927604675,4.618719770281227,moderate_separation,"[{""token_id"": 11423, ""token"": ""annot"", ""value"": 0.2044721096754074}, {""token_id"": 19592, ""token"": "" Judges"", ""value"": 0.17531347274780273}, {""token_id"": 18656, ""token"": ""Il"", ""value"": 0.1712314784526825}, {""token_id"": 41030, ""token"": "" disagreed"", ""value"": 0.16573697328567505}, {""token_id"": 23738, ""token"": "" eighth"", ""value"": 0.16471445560455322}]",47322,Bridge,0,0.00017644187028054148,0.2007906436920166,0.9890390038490295,"[{""token_id"": 47322, ""token"": ""Bridge"", ""value"": 0.00017644187028054148}, {""token_id"": 33853, ""token"": "" sucked"", ""value"": 0.00014434421609621495}, {""token_id"": 39722, ""token"": "" Constitutional"", ""value"": 0.00011580879072425887}, {""token_id"": 19005, ""token"": "" Host"", ""value"": 0.00011484117567306384}, {""token_id"": 6619, ""token"": "" relief"", ""value"": 0.00011123437434434891}]",False,geometry_only_neighbor; LM_head_predicts_token47322; LM_top1_p=0.0002
step0,0,baseline,1,10020, semi,112,17.861780166625977,13.702481269836426,20.639249801635742,0.767139732837677,5021,ella,37,0.1849784553050995,0.006502017378807068,4.1806540148055165,moderate_separation,"[{""token_id"": 5021, ""token"": ""ella"", ""value"": 0.1849784553050995}, {""token_id"": 36668, ""token"": "" stagger"", ""value"": 0.17847643792629242}, {""token_id"": 43002, ""token"": "" Programming"", ""value"": 0.16050367057323456}, {""token_id"": 11423, ""token"": ""annot"", ""value"": 0.15990465879440308}, {""token_id"": 9234, ""token"": ""++)"", ""value"": 0.15870529413223267}]",33853, sucked,5,0.00013731434592045844,0.0949486494064331,0.9885850548744202,"[{""token_id"": 33853, ""token"": "" sucked"", ""value"": 0.00013731434592045844}, {""token_id"": 47322, ""token"": ""Bridge"", ""value"": 0.00012487635831348598}, {""token_id"": 1213, ""token"": "" str"", ""value"": 0.00012362381676211953}, {""token_id"": 891, ""token"": "" i"", ""value"": 0.00011489867029013112}, {""token_id"": 43823, ""token"": "" 482"", ""value"": 0.00011111465573776513}]",False,geometry_only_neighbor; LM_head_predicts_token33853; LM_top1_p=0.0001
step0,0,baseline,2,1941, evidence,284,20.628053665161133,9.21299934387207,11.696344375610352,0.446624755859375,43369, verbs,2,0.1815144270658493,0.004175916314125061,4.121679164812042,low_separation,"[{""token_id"": 43369, ""token"": "" verbs"", ""value"": 0.1815144270658493}, {""token_id"": 39509, ""token"": "" Abdul"", ""value"": 0.17733851075172424}, {""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.16826272010803223}, {""token_id"": 41440, ""token"": ""uw"", ""value"": 0.161790132522583}, {""token_id"": 15685, ""token"": "" incubation"", ""value"": 0.16164468228816986}]",16144, syntax,1,0.00017974908405449241,0.010164260864257812,0.984768271446228,"[{""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00017974908405449241}, {""token_id"": 24483, ""token"": ""usage"", ""value"": 0.00017793133156374097}, {""token_id"": 28726, ""token"": "" dummy"", ""value"": 0.0001637615350773558}, {""token_id"": 669, ""token"": "" $\\"", ""value"": 0.00016338184650521725}, {""token_id"": 43910, ""token"": ""versed"", ""value"": 0.00015985610662028193}]",False,geometry_only_neighbor; LM_head_predicts_token16144; LM_top1_p=0.0002
step0,0,baseline,3,38730, orientations,4,21.398475646972656,7.277767181396484,8.791528701782227,0.3401068150997162,41440,uw,7,0.1869918406009674,0.0023492276668548584,4.248825989798178,low_separation,"[{""token_id"": 41440, ""token"": ""uw"", ""value"": 0.1869918406009674}, {""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.18464261293411255}, {""token_id"": 43369, ""token"": "" verbs"", ""value"": 0.17137983441352844}, {""token_id"": 25236, ""token"": "" Muh"", ""value"": 0.16505375504493713}, {""token_id"": 47095, ""token"": "" SYSTEM"", ""value"": 0.1639556884765625}]",16144, syntax,1,0.00030397946829907596,0.3370473384857178,0.9835429191589355,"[{""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00030397946829907596}, {""token_id"": 14383, ""token"": "" Gil"", ""value"": 0.00021700336947105825}, {""token_id"": 24638, ""token"": ""^*\\"", ""value"": 0.0001999642699956894}, {""token_id"": 24483, ""token"": ""usage"", ""value"": 0.00019720886484719813}, {""token_id"": 12145, ""token"": "" boss"", ""value"": 0.0001840295735746622}]",False,geometry_only_neighbor; LM_head_predicts_token16144; LM_top1_p=0.0003
step0,0,baseline,4,21853, workplace,10,17.707592010498047,13.577340126037598,21.439096450805664,0.7667524814605713,39509, Abdul,6,0.1795586794614792,0.006564125418663025,4.073649431777179,moderate_separation,"[{""token_id"": 39509, ""token"": "" Abdul"", ""value"": 0.1795586794614792}, {""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.17299455404281616}, {""token_id"": 38902, ""token"": ""gid"", ""value"": 0.1689322292804718}, {""token_id"": 29994, ""token"": "" multiplicity"", ""value"": 0.16868707537651062}, {""token_id"": 41440, ""token"": ""uw"", ""value"": 0.1674216240644455}]",43910,versed,1,0.00016796315321698785,0.05542254447937012,0.9887377023696899,"[{""token_id"": 43910, ""token"": ""versed"", ""value"": 0.00016796315321698785}, {""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00015890748181845993}, {""token_id"": 24638, ""token"": ""^*\\"", ""value"": 0.00015624568914063275}, {""token_id"": 5911, ""token"": ""elled"", ""value"": 0.00013833098637405783}, {""token_id"": 36512, ""token"": ""(?:"", ""value"": 0.00012328026059549302}]",False,geometry_only_neighbor; LM_head_predicts_token43910; LM_top1_p=0.0002
step0,0,baseline,5,5631, Govern,13,21.89886474609375,5.360688209533691,10.976760864257812,0.24479296803474426,22180,_{{{\,0,0.20519843697547913,0.03295983374118805,4.655547451456929,moderate_separation,"[{""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.20519843697547913}, {""token_id"": 34769, ""token"": ""692"", ""value"": 0.17223860323429108}, {""token_id"": 35487, ""token"": ""\\]\\]."", ""value"": 0.1678520143032074}, {""token_id"": 38902, ""token"": ""gid"", ""value"": 0.16707906126976013}, {""token_id"": 29994, ""token"": "" multiplicity"", ""value"": 0.16672846674919128}]",14383, Gil,39,0.00023419203353114426,0.03328585624694824,0.9827000498771667,"[{""token_id"": 14383, ""token"": "" Gil"", ""value"": 0.00023419203353114426}, {""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00022652508050668985}, {""token_id"": 36512, ""token"": ""(?:"", ""value"": 0.00020426105766091496}, {""token_id"": 14297, ""token"": "" Agreement"", ""value"": 0.00017266896611545235}, {""token_id"": 38530, ""token"": "" compose"", ""value"": 0.000169777064002119}]",False,geometry_only_neighbor; LM_head_predicts_token14383; LM_top1_p=0.0002
step0,0,baseline,6,30736,corn,3,21.316896438598633,7.3438873291015625,12.118620872497559,0.34451016783714294,22180,_{{{\,0,0.2129533439874649,0.035621270537376404,4.828379832898129,moderate_separation,"[{""token_id"": 22180, ""token"": ""_{{{\\"", ""value"": 0.2129533439874649}, {""token_id"": 38902, ""token"": ""gid"", ""value"": 0.1773320734500885}, {""token_id"": 34769, ""token"": ""692"", ""value"": 0.1750028431415558}, {""token_id"": 29994, ""token"": "" multiplicity"", ""value"": 0.1720212697982788}, {""token_id"": 35487, ""token"": ""\\]\\]."", ""value"": 0.16534245014190674}]",14383, Gil,39,0.000224911593249999,0.07057881355285645,0.9835767149925232,"[{""token_id"": 14383, ""token"": "" Gil"", ""value"": 0.000224911593249999}, {""token_id"": 36512, ""token"": ""(?:"", ""value"": 0.00020958483219146729}, {""token_id"": 16144, ""token"": "" syntax"", ""value"": 0.00019739789422601461}, {""token_id"": 43910, ""token"": ""versed"", ""value"": 0.00018510183144826442}, {""token_id"": 14297, ""token"": "" Agreement"", ""value"": 0.00017161760479211807}]",False,geometry_only_neighbor; LM_head_predicts_token14383; LM_top1_p=0.0002
step0,0,baseline,7,1338,lement,18,14.811422348022461,16.974300384521484,20.749942779541016,1.146027684211731,14274,不,0,0.19686195254325867,0.010656952857971191,4.459341807809092,moderate_separation,"[{""token_id"": 14274, ""token"": ""不"", ""value"": 0.19686195254325867}, {""token_id"": 10532, ""token"": "" revolution"", ""value"": 0.18620499968528748}, {""token_id"": 23710, ""token"": ""LES"", ""value"": 0.17996010184288025}, {""token_id"": 23930, ""token"": "" autophagy"", ""value"": 0.1765347123146057}, {""token_id"": 31479, ""token"": "" Liz"", ""value"": 0.175542950630188}]",48362,ateness,1,0.00010160157398786396,0.07140827178955078,0.992111325263977,"[{""token_id"": 48362, ""token"": ""ateness"", ""value"": 0.00010160157398786396}, {""token_id"": 49240, ""token"": "" bipartite"", ""value"": 9.459935972699896e-05}, {""token_id"": 11369, ""token"": "" engineering"", ""value"": 9.184492228087038e-05}, {""token_id"": 43619, ""token"": ""Civil"", ""value"": 8.66405462147668e-05}, {""token_id"": 17962, ""token"": ""166"", ""value"": 8.45185131765902e-05}]",False,geometry_only_neighbor; LM_head_predicts_token48362; LM_top1_p=0.0001
step1000,1000,endpoint,0,29104, repetitive,16,26.974143981933594,10.060105323791504,13.026792526245117,0.3729536533355713,44489, Naples,12,0.19005221128463745,3.9190053939819336e-05,4.179402893351766,low_separation,"[{""token_id"": 44489, ""token"": "" Naples"", ""value"": 0.19005221128463745}, {""token_id"": 32973, ""token"": "" scaffold"", ""value"": 0.19001302123069763}, {""token_id"": 25554, ""token"": ""ocarcinoma"", ""value"": 0.18478846549987793}, {""token_id"": 19544, ""token"": "" Cohen"", ""value"": 0.18055948615074158}, {""token_id"": 49732, ""token"": "" collaborators"", ""value"": 0.17758136987686157}]",15,.,8666,0.12131089717149734,0.5798778533935547,0.6419277787208557,"[{""token_id"": 15, ""token"": ""."", ""value"": 0.12131089717149734}, {""token_id"": 27, ""token"": "":"", ""value"": 0.06793007254600525}, {""token_id"": 16, ""token"": ""/"", ""value"": 0.03665478900074959}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.017783664166927338}, {""token_id"": 14, ""token"": ""-"", ""value"": 0.014448010362684727}]",False,geometry_only_neighbor; LM_head_predicts_token15; LM_top1_p=0.1213
step1000,1000,endpoint,1,10020, semi,112,23.59478187561035,16.294700622558594,22.35791778564453,0.6906061172485352,28805, Rav,30,0.20263773202896118,0.026113539934158325,4.536670037654149,moderate_separation,"[{""token_id"": 28805, ""token"": "" Rav"", ""value"": 0.20263773202896118}, {""token_id"": 48185, ""token"": "" Α"", ""value"": 0.17652419209480286}, {""token_id"": 16987, ""token"": "" 05"", ""value"": 0.1714143306016922}, {""token_id"": 42636, ""token"": ""Hb"", ""value"": 0.16654595732688904}, {""token_id"": 32973, ""token"": "" scaffold"", ""value"": 0.1656332015991211}]",15,.,8666,0.09430554509162903,0.2697010040283203,0.6884717345237732,"[{""token_id"": 15, ""token"": ""."", ""value"": 0.09430554509162903}, {""token_id"": 27, ""token"": "":"", ""value"": 0.07201244682073593}, {""token_id"": 13, ""token"": "","", ""value"": 0.01971745304763317}, {""token_id"": 313, ""token"": "" ("", ""value"": 0.014889617450535297}, {""token_id"": 187, ""token"": ""\n"", ""value"": 0.013730408623814583}]",False,geometry_only_neighbor; LM_head_predicts_token15; LM_top1_p=0.0943
