checkpoint,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,projection_1,projection_2,projection_3,projection_4,vector_kind,vector_l2,state_l2,relative_update_l2,projection_seed,projection_sha256
step41000,0,0,21825, clones,2,0,1.9947055578231812,-0.11013036966323853,2.2882704734802246,-2.403127908706665,residual_internal,57.26736068725586,1.4227583408355713,40.25094005326535,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,0,1,23778, motive,8,2,1.9591916799545288,-0.6821321249008179,-0.621872067451477,-1.9911810159683228,residual_internal,53.37715148925781,1.457377314567566,36.62548535352763,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,0,2,19211, cabinet,33,5,3.301365613937378,-1.3564927577972412,-1.9696154594421387,-2.269833564758301,residual_internal,56.7010612487793,1.4350638389587402,39.511176931279024,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,0,3,6574, miles,404,7,3.752370834350586,2.158318281173706,0.02538253366947174,-3.9244914054870605,residual_internal,58.04471969604492,1.433984637260437,40.4779229761741,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,1,0,21825, clones,2,0,-0.0012387335300445557,2.462141513824463,5.091731071472168,-4.04083251953125,residual_internal,83.61421966552734,31.974687576293945,2.615012874356245,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,1,1,23778, motive,8,2,0.7196706533432007,-1.7140506505966187,2.252277135848999,-6.2759528160095215,residual_internal,87.92208099365234,37.014835357666016,2.3753200613775824,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,1,2,19211, cabinet,33,5,2.312828302383423,1.7291489839553833,-0.7655667662620544,-1.2238329648971558,residual_internal,78.38905334472656,34.348724365234375,2.2821532616817364,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,1,3,6574, miles,404,7,-1.4407001733779907,2.933732509613037,6.132363796234131,-4.936849594116211,residual_internal,74.88458251953125,37.81910705566406,1.980072729092,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,2,0,21825, clones,2,0,-1.1289030313491821,-1.7173177003860474,0.7582682967185974,-5.490525245666504,residual_internal,84.68209838867188,46.896114349365234,1.8057380566289518,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,2,1,23778, motive,8,2,3.752946138381958,-2.2351691722869873,0.8744462728500366,-6.427124500274658,residual_internal,86.69588470458984,51.40496826171875,1.686527346212802,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,2,2,19211, cabinet,33,5,4.273634910583496,1.4305295944213867,-1.606666922569275,-4.0156145095825195,residual_internal,82.9926986694336,50.33576202392578,1.6487820057235887,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,2,3,6574, miles,404,7,0.834886372089386,0.8502997159957886,1.897322416305542,-2.5719125270843506,residual_internal,75.92922973632812,52.103668212890625,1.457272248588881,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,3,0,21825, clones,2,0,0.6938632726669312,-1.69392728805542,-0.747249186038971,-7.169243335723877,residual_internal,84.60507202148438,52.53969192504883,1.6103077296718609,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,3,1,23778, motive,8,2,5.298341751098633,-1.6888315677642822,0.26924577355384827,-5.26163911819458,residual_internal,85.62966918945312,51.76409149169922,1.6542291523301345,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,3,2,19211, cabinet,33,5,4.627963066101074,0.7227804064750671,-1.7481580972671509,-1.803378701210022,residual_internal,83.54715728759766,53.48771667480469,1.56198773253958,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,3,3,6574, miles,404,7,1.9556256532669067,-1.5930367708206177,1.6291767358779907,-5.864492893218994,residual_internal,88.17362976074219,55.288116455078125,1.5948025618196582,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step41000,4,0,21825, clones,2,0,1.403010606765747,0.18728333711624146,-1.0708109140396118,-7.763625144958496,residual_internal,83.26981353759766,54.65935134887695,1.5234321572187581,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
